Total approvals: 12
Approval ID: 6b7b742f-ed06-4665-8b61-840df1e6d9d2, ProjectId: 8c7642e1-46d1-4e2e-a678-a6124e73355c, Stage: Admin Review, Role: UserRole.ADMIN, Status: Pending, Seq: 1
Approval ID: 9f342d06-a770-44e9-bd18-bc9f4e34d84a, ProjectId: 2c6a5aa4-42de-4759-b2e7-69a981042321, Stage: Admin Review, Role: UserRole.ADMIN, Status: Pending, Seq: 1
Approval ID: 5251aada-a378-4a74-a969-19a51019bcac, ProjectId: 2c9d1886-7dff-4c1c-b9cb-293acc4c545b, Stage: BTA Review, Role: UserRole.BTA, Status: Pending, Seq: 1
Approval ID: 08f1212a-2b09-45f2-99f4-8e02c89feb57, ProjectId: ef90901c-4cce-4665-8541-2b3952d2c6ac, Stage: EAC Committee Review, Role: UserRole.EAC, Status: Pending, Seq: 3
Approval ID: 553d5eeb-bfd6-437c-b6e1-d185577aedd5, ProjectId: ef90901c-4cce-4665-8541-2b3952d2c6ac, Stage: EAC Committee Review, Role: UserRole.EAC, Status: Pending, Seq: 3
Approval ID: d1c08e17-79b3-476a-8026-a86c29b39254, ProjectId: ef90901c-4cce-4665-8541-2b3952d2c6ac, Stage: EAC Committee Review, Role: UserRole.EAC, Status: Pending, Seq: 3
Approval ID: 246f9466-d06c-4ca0-9e07-5fe7e65d2536, ProjectId: ef90901c-4cce-4665-8541-2b3952d2c6ac, Stage: BTA Review, Role: UserRole.BTA, Status: Approved, Seq: 1
Approval ID: 71f64e80-c071-4dd1-9f49-b1506955a08b, ProjectId: ef90901c-4cce-4665-8541-2b3952d2c6ac, Stage: EAC Committee Review, Role: UserRole.EAC, Status: Pending, Seq: 3
Approval ID: a20e54da-d402-4265-ace5-0af44177f5b0, ProjectId: 533052f1-8ee6-440e-9db8-c866f9b1869a, Stage: BTA Review, Role: UserRole.BTA, Status: Approved, Seq: 1
Approval ID: c9ea9a90-791f-4397-b138-11c5541911f8, ProjectId: 533052f1-8ee6-440e-9db8-c866f9b1869a, Stage: EAC Committee Review, Role: UserRole.EAC, Status: Pending, Seq: 3
Approval ID: 68df1643-4edd-4382-8bf9-4bbdfaf0c789, ProjectId: 473c444d-8fbd-4349-aeb1-5a27e03f2617, Stage: BTA Review, Role: UserRole.BTA, Status: Pending, Seq: 1
Approval ID: 30277073-a324-4aa2-a1ed-4a4d6adeaf05, ProjectId: 56eff792-2a1b-4a1b-a022-1860dda4f11e, Stage: BTA Review, Role: UserRole.BTA, Status: Pending, Seq: 1
